uuid;commonMetaData.name;commonMetaData.description;commonMetaData.shortName;yearsFrom;yearsTo
e19cfd90-68e0-11ee-9d1c-d8bbc19bcc5c;102 Jahre;Alter von der Vollendung des 102. bis vor Vollendung des 103. Lebensjahres;102;102;102
e19d197e-68e0-11ee-9d1c-d8bbc19bcc5c;103 Jahre;Alter von der Vollendung des 103. bis vor Vollendung des 104. Lebensjahres;103;103;103
e19d35d0-68e0-11ee-9d1c-d8bbc19bcc5c;104 Jahre;Alter von der Vollendung des 104. bis vor Vollendung des 105. Lebensjahres;104;104;104
e19d5268-68e0-11ee-9d1c-d8bbc19bcc5c;105 Jahre;Alter von der Vollendung des 105. bis vor Vollendung des 106. Lebensjahres;105;105;105
e19d6ef6-68e0-11ee-9d1c-d8bbc19bcc5c;106 Jahre;Alter von der Vollendung des 106. bis vor Vollendung des 107. Lebensjahres;106;106;106
e19d8b48-68e0-11ee-9d1c-d8bbc19bcc5c;107 Jahre;Alter von der Vollendung des 107. bis vor Vollendung des 108. Lebensjahres;107;107;107
e19da7a4-68e0-11ee-9d1c-d8bbc19bcc5c;108 Jahre;Alter von der Vollendung des 108. bis vor Vollendung des 109. Lebensjahres;108;108;108
e19dc3c4-68e0-11ee-9d1c-d8bbc19bcc5c;109 Jahre;Alter von der Vollendung des 109. bis vor Vollendung des 110. Lebensjahres;109;109;109
e19ddff8-68e0-11ee-9d1c-d8bbc19bcc5c;110 Jahre;Alter von der Vollendung des 110. bis vor Vollendung des 111. Lebensjahres;110;110;110
e19dfc22-68e0-11ee-9d1c-d8bbc19bcc5c;111 Jahre;Alter von der Vollendung des 111. bis vor Vollendung des 112. Lebensjahres;111;111;111
e19e18ba-68e0-11ee-9d1c-d8bbc19bcc5c;112 Jahre;Alter von der Vollendung des 112. bis vor Vollendung des 113. Lebensjahres;112;112;112
e19e350c-68e0-11ee-9d1c-d8bbc19bcc5c;113 Jahre;Alter von der Vollendung des 113. bis vor Vollendung des 114. Lebensjahres;113;113;113
e19e5136-68e0-11ee-9d1c-d8bbc19bcc5c;114 Jahre;Alter von der Vollendung des 114. bis vor Vollendung des 115. Lebensjahres;114;114;114
e19e6d88-68e0-11ee-9d1c-d8bbc19bcc5c;115 Jahre;Alter von der Vollendung des 115. bis vor Vollendung des 116. Lebensjahres;115;115;115
e19e89b2-68e0-11ee-9d1c-d8bbc19bcc5c;116 Jahre;Alter von der Vollendung des 116. bis vor Vollendung des 117. Lebensjahres;116;116;116
e19eaed8-68e0-11ee-9d1c-d8bbc19bcc5c;117 Jahre;Alter von der Vollendung des 117. bis vor Vollendung des 118. Lebensjahres;117;117;117
e19ecb34-68e0-11ee-9d1c-d8bbc19bcc5c;118 Jahre;Alter von der Vollendung des 118. bis vor Vollendung des 119. Lebensjahres;118;118;118
e19ee754-68e0-11ee-9d1c-d8bbc19bcc5c;119 Jahre;Alter von der Vollendung des 119. bis vor Vollendung des 120. Lebensjahres;119;119;119
e19f03ba-68e0-11ee-9d1c-d8bbc19bcc5c;120 Jahre;Alter von der Vollendung des 120. bis vor Vollendung des 121. Lebensjahres;120;120;120
e19f2002-68e0-11ee-9d1c-d8bbc19bcc5c;121 Jahre;Alter von der Vollendung des 121. bis vor Vollendung des 122. Lebensjahres;121;121;121
e19f3c36-68e0-11ee-9d1c-d8bbc19bcc5c;122 Jahre;Alter von der Vollendung des 122. bis vor Vollendung des 123. Lebensjahres;122;122;122
e19f58ec-68e0-11ee-9d1c-d8bbc19bcc5c;123 Jahre;Alter von der Vollendung des 123. bis vor Vollendung des 124. Lebensjahres;123;123;123
e19f7520-68e0-11ee-9d1c-d8bbc19bcc5c;124 Jahre;Alter von der Vollendung des 124. bis vor Vollendung des 125. Lebensjahres;124;124;124
e19f9190-68e0-11ee-9d1c-d8bbc19bcc5c;125 Jahre;Alter von der Vollendung des 125. bis vor Vollendung des 126. Lebensjahres;125;125;125
e19fadce-68e0-11ee-9d1c-d8bbc19bcc5c;126 Jahre;Alter von der Vollendung des 126. bis vor Vollendung des 127. Lebensjahres;126;126;126
e19fc9d0-68e0-11ee-9d1c-d8bbc19bcc5c;127 Jahre;Alter von der Vollendung des 127. bis vor Vollendung des 128. Lebensjahres;127;127;127
e19ff270-68e0-11ee-9d1c-d8bbc19bcc5c;128 Jahre;Alter von der Vollendung des 128. bis vor Vollendung des 129. Lebensjahres;128;128;128
e1a00f08-68e0-11ee-9d1c-d8bbc19bcc5c;129 Jahre;Alter von der Vollendung des 129. bis vor Vollendung des 130. Lebensjahres;129;129;129
e1a02b96-68e0-11ee-9d1c-d8bbc19bcc5c;130 Jahre;Alter von der Vollendung des 130. bis vor Vollendung des 131. Lebensjahres;130;130;130
e1a04806-68e0-11ee-9d1c-d8bbc19bcc5c;131 Jahre;Alter von der Vollendung des 131. bis vor Vollendung des 132. Lebensjahres;131;131;131
e1a0643a-68e0-11ee-9d1c-d8bbc19bcc5c;132 Jahre;Alter von der Vollendung des 132. bis vor Vollendung des 133. Lebensjahres;132;132;132
e1a080fa-68e0-11ee-9d1c-d8bbc19bcc5c;133 Jahre;Alter von der Vollendung des 133. bis vor Vollendung des 134. Lebensjahres;133;133;133
e1a09d38-68e0-11ee-9d1c-d8bbc19bcc5c;134 Jahre;Alter von der Vollendung des 134. bis vor Vollendung des 135. Lebensjahres;134;134;134
e1a0b962-68e0-11ee-9d1c-d8bbc19bcc5c;135 Jahre;Alter von der Vollendung des 135. bis vor Vollendung des 136. Lebensjahres;135;135;135
